GeneID	Base_mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
ENSG00000140988	119.0459447	0.637623527	0.222392678	2.867106655	0.004142434	0.024860695
ENSG00000120251	6.15492292	-2.264894381	0.790388147	-2.865546997	0.004162895	0.024967212
ENSG00000166188	14.68130308	-1.500389474	0.523615168	-2.865443105	0.004164261	0.024967212
ENSG00000165802	52.63916261	1.070084466	0.373573374	2.864455926	0.004177263	0.025032907
ENSG00000155463	39.66265123	-0.930160235	0.3249202	-2.862734401	0.004200025	0.025156997
ENSG00000182872	43.82737511	1.153860527	0.403090804	2.862532499	0.004202702	0.025160721
ENSG00000177119	20.52474625	1.973482877	0.689841922	2.860775513	0.004226062	0.025288208
ENSG00000170871	16.73305579	2.496757221	0.872816593	2.860574881	0.004228737	0.025291854
ENSG00000196242	2.699045445	-5.18526209	1.813780056	-2.858815254	0.004252264	0.025308927
ENSG00000145088	2.698811531	-5.185528583	1.813791025	-2.85894489	0.004250526	0.025308927
ENSG00000166012	21.92560393	-1.331162775	0.465512021	-2.859566918	0.004242199	0.025308927
ENSG00000067057	81.90524351	0.771553529	0.269861648	2.8590707	0.004248841	0.025308927
ENSG00000012504	2.699045445	-5.18526209	1.813780056	-2.858815254	0.004252264	0.025308927
ENSG00000185347	18.55865972	-1.351796837	0.472822937	-2.858991669	0.004249899	0.025308927
ENSG00000140522	2.699045445	-5.18526209	1.813780056	-2.858815254	0.004252264	0.025308927
ENSG00000140365	18.55865972	-1.351796837	0.472822937	-2.858991669	0.004249899	0.025308927
ENSG00000104921	2.699045445	-5.18526209	1.813780056	-2.858815254	0.004252264	0.025308927
ENSG00000100351	2.698811531	-5.185528583	1.813791025	-2.85894489	0.004250526	0.025308927
ENSG00000078401	5.187928384	-2.60354312	0.910873461	-2.85829287	0.004259271	0.025338315
ENSG00000100097	96.72175128	-0.638066857	0.22326706	-2.857863842	0.004265034	0.025360275
ENSG00000133302	10.35070776	-1.845012958	0.646163047	-2.855336538	0.004299125	0.025535359
ENSG00000138829	3.907954302	-3.285169927	1.15058481	-2.855217537	0.004300736	0.025535359
ENSG00000149179	23.18600395	-1.206915758	0.422661889	-2.855511199	0.004296761	0.025535359
ENSG00000092201	79.91437177	-0.714595849	0.25038647	-2.853971504	0.00431764	0.025623302
ENSG00000176986	42.77525858	1.139277673	0.399261998	2.85345883	0.004324613	0.025652247
ENSG00000164068	41.80282309	1.17564741	0.412099063	2.852827186	0.004333218	0.025690841
ENSG00000135404	51.30138169	1.047379559	0.367181815	2.852482115	0.004337925	0.025706302
ENSG00000248746	11.42029313	-1.898404028	0.66583357	-2.851168993	0.004355881	0.02580022
ENSG00000198816	47.05335074	1.064356519	0.373379663	2.850601212	0.004363666	0.025833831
ENSG00000147130	41.18747298	1.309321747	0.459345155	2.850409399	0.004366299	0.025836924
ENSG00000184937	2.769175015	-4.183202801	1.467917353	-2.849753627	0.004375311	0.025840293
ENSG00000181234	2.769175015	-4.183202801	1.467917353	-2.849753627	0.004375311	0.025840293
ENSG00000206190	2.769175015	-4.183202801	1.467917353	-2.849753627	0.004375311	0.025840293
ENSG00000070388	2.769175015	-4.183202801	1.467917353	-2.849753627	0.004375311	0.025840293
ENSG00000148248	28.54443348	1.492688218	0.523998391	2.848650384	0.00439051	0.025917556
ENSG00000143631	3.978551699	-3.015800884	1.059777826	-2.845691624	0.004431509	0.026146969
ENSG00000198563	225.7028235	-0.576640845	0.202693205	-2.844894804	0.004442609	0.026199839
ENSG00000134825	27.20432146	-1.127753688	0.396500494	-2.844268053	0.004451358	0.026238796
ENSG00000203950	12.60705487	-1.627483808	0.572258743	-2.843964952	0.004455595	0.02625113
ENSG00000163510	21.1548727	-1.256824822	0.442060566	-2.843105487	0.004467628	0.026309366
ENSG00000135637	5.901643892	4.244088998	1.493395327	2.841905904	0.004484473	0.026395864
ENSG00000171603	115.9122457	0.627180092	0.2207943	2.840562883	0.004503399	0.026494531
ENSG00000090266	34.08290569	-0.980320895	0.345202124	-2.839846067	0.004513531	0.026541382
ENSG00000106367	63.93238182	-0.798376346	0.281153184	-2.839648959	0.00451632	0.026545036
ENSG00000166266	13.55735094	-1.524371591	0.536875715	-2.83933795	0.004520725	0.026558175
ENSG00000198841	3.82229584	-3.002142514	1.057551676	-2.838766731	0.004528825	0.026567516
ENSG00000106624	104.5590798	0.662884388	0.233497236	2.838938909	0.004526382	0.026567516
ENSG00000105664	3.82229584	-3.002142514	1.057551676	-2.838766731	0.004528825	0.026567516
ENSG00000184384	15.33138463	4.090246379	1.441471183	2.837549878	0.004546124	0.026656226
ENSG00000144229	2.542555672	-5.160869347	1.819271262	-2.83677836	0.004557123	0.02669515
ENSG00000172146	2.542321758	-5.161144824	1.81928398	-2.836909949	0.004555246	0.02669515
ENSG00000164346	10.50556013	-1.851840983	0.652832848	-2.836623477	0.004559334	0.026695329
ENSG00000168528	14.96077124	2.995928264	1.056260226	2.836354327	0.004563179	0.026705067
ENSG00000110080	5.831046494	4.226748374	1.490549223	2.835698619	0.004572557	0.026747166
ENSG00000112511	21.28979491	1.971707799	0.696182512	2.832170826	0.004623314	0.027031153
ENSG00000185122	40.75819181	1.160424056	0.410105955	2.829571337	0.004661041	0.027238722
ENSG00000105605	36.56412072	1.255045118	0.444179479	2.825536024	0.004720158	0.027571037
ENSG00000142864	41.91712702	-0.910776174	0.322449786	-2.824551961	0.004734677	0.027642657
ENSG00000094975	28.94587846	1.481619953	0.524636351	2.82408939	0.004741516	0.027656207
ENSG00000174844	2.612685242	-4.162273054	1.473830437	-2.824119348	0.004741073	0.027656207
ENSG00000188010	11.17059101	-1.661035958	0.588400617	-2.822967735	0.004758136	0.027739933
ENSG00000040933	18.59006315	2.152744016	0.762680914	2.822601137	0.004763579	0.02775845
ENSG00000108384	11.17105884	-1.66093083	0.588570378	-2.821974894	0.004772891	0.027799481
ENSG00000136108	22.44897219	-1.29169682	0.458085754	-2.819770772	0.004805797	0.027977826
ENSG00000115816	47.17568409	-0.904743949	0.321094434	-2.817688047	0.004837078	0.028137708
ENSG00000188352	18.57593774	2.169405113	0.769937925	2.817636385	0.004837856	0.028137708
ENSG00000136425	5.759279526	4.208992987	1.494345173	2.816613633	0.004853287	0.028200662
ENSG00000141540	5.759279526	4.208992987	1.494345173	2.816613633	0.004853287	0.028200662
ENSG00000084636	60.51438796	0.899930624	0.319746076	2.814516551	0.004885066	0.028371853
ENSG00000164022	11.34377925	-1.751821317	0.622629866	-2.813583823	0.004899261	0.028414727
ENSG00000106479	22.45281884	1.777801534	0.631815211	2.813799833	0.00489597	0.028414727
ENSG00000107331	85.76442956	0.737769579	0.262217941	2.81357399	0.004899411	0.028414727
ENSG00000122435	9.609162996	-1.896640246	0.674142884	-2.813409874	0.004901913	0.028415774
ENSG00000066739	18.36414555	2.149245416	0.764025593	2.813054218	0.004907338	0.02843376
ENSG00000178105	12.36373706	-1.58506626	0.563704842	-2.811872707	0.004925399	0.028524457
ENSG00000083520	33.9316538	-1.486465754	0.528666703	-2.811725697	0.004927651	0.028524457
ENSG00000135686	14.83884025	4.040223662	1.438193765	2.809234583	0.004965945	0.028732543
ENSG00000076242	24.94657087	-1.172999838	0.417647951	-2.808585161	0.004975972	0.028764489
ENSG00000183496	39.03559574	1.230932751	0.438276981	2.808572672	0.004976165	0.028764489
ENSG00000185033	22.22573167	1.7745439	0.632019117	2.807737695	0.004989085	0.028825561
ENSG00000198483	3.978317785	-3.017696309	1.075928343	-2.804737256	0.005035761	0.029040425
ENSG00000018699	15.35061305	-1.517530771	0.541046689	-2.80480558	0.005034694	0.029040425
ENSG00000143870	96.95736305	0.68631701	0.244666531	2.805111946	0.005029911	0.029040425
ENSG00000118162	13.12127855	-1.637756494	0.583871529	-2.804994612	0.005031742	0.029040425
ENSG00000152518	55.1944325	0.960775007	0.342741466	2.803206217	0.005059731	0.029164916
ENSG00000146416	11.76930358	-1.710464169	0.610225401	-2.803003885	0.005062906	0.029169486
ENSG00000086717	7.120747886	-2.062154923	0.73578018	-2.802678001	0.005068024	0.029185239
ENSG00000143942	5.101802095	-2.453726407	0.875749787	-2.801857841	0.005080926	0.02924578
ENSG00000163918	9.820487361	-1.754556384	0.626449546	-2.800794407	0.005097698	0.029328535
ENSG00000156873	5.688916042	4.191265781	1.496601478	2.800522277	0.005101999	0.029339487
ENSG00000088882	72.94484297	0.899000513	0.3212517	2.798430363	0.005135164	0.029516345
ENSG00000088179	5.620189957	4.173619487	1.4915405	2.798193872	0.005138926	0.029524105
ENSG00000111880	10.87477776	-1.73351779	0.619733763	-2.797197593	0.0051548	0.029587536
ENSG00000159433	39.57449289	1.228153447	0.439050092	2.797296867	0.005153216	0.029587536
ENSG00000183010	36.14397641	1.345437136	0.481104936	2.796556502	0.005165038	0.029632408
ENSG00000154511	8.784532827	-1.892835149	0.676977563	-2.796008688	0.005173801	0.02966878
ENSG00000130881	46.85849092	1.047082241	0.374544721	2.795613397	0.005180133	0.029691181
ENSG00000178965	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000169509	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000203710	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000175792	54.01612447	-0.783728531	0.28052851	-2.793757146	0.005209959	0.029764686
ENSG00000174948	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000138792	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000248144	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000069011	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000146166	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000153303	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000124721	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000137203	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000136193	44.50987483	1.072096352	0.383702749	2.794080459	0.005204753	0.029764686
ENSG00000128609	11.01386733	-1.656528083	0.593694748	-2.790201678	0.005267522	0.029764686
ENSG00000218305	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000266265	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000198689	5.620657786	4.173708277	1.496161149	2.789611453	0.005277133	0.029764686
ENSG00000188408	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000104537	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000164741	22.52435189	1.783571457	0.639103383	2.790740129	0.005258768	0.029764686
ENSG00000180919	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000148704	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000166220	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000075891	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000139292	24.18983515	1.649533507	0.590396048	2.793944018	0.005206949	0.029764686
ENSG00000089116	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000111181	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000211845	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000102858	34.76899501	1.290292195	0.462580831	2.78933347	0.005281665	0.029764686
ENSG00000198783	11.04515902	-1.830666854	0.65526523	-2.793779938	0.005209592	0.029764686
ENSG00000276231	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000132475	43.13428379	-0.861148364	0.308248375	-2.793683384	0.005211147	0.029764686
ENSG00000261371	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000205899	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000181481	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000005381	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000124092	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000268480	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000100427	1.700291383	-6.03285437	2.163120308	-2.78895924	0.005287772	0.029764686
ENSG00000120885	54.82755401	0.953519453	0.342048259	2.787675214	0.005308774	0.029869171
ENSG00000163349	31.29566412	1.409195361	0.505736352	2.786422916	0.005329329	0.02997105
ENSG00000119397	20.41473142	-1.247021202	0.447813862	-2.784686471	0.00535795	0.030118175
ENSG00000109685	93.69301739	0.701434966	0.251923298	2.784319556	0.005364016	0.030138433
ENSG00000131374	14.85344119	2.941892846	1.057111648	2.782953769	0.005386648	0.030251712
ENSG00000213782	31.55635445	-0.999348306	0.359146806	-2.782562144	0.005393154	0.03027436
ENSG00000129518	10.94326993	-1.694721786	0.60921749	-2.781800939	0.005405819	0.030331548
ENSG00000114999	15.19136712	2.999735429	1.078410307	2.781627189	0.005408713	0.030333887
ENSG00000134255	7.27840723	-2.068691741	0.743915959	-2.780813767	0.005422283	0.030396069
ENSG00000179403	11.41320708	-1.711862728	0.615782851	-2.77997792	0.005436259	0.030460469
ENSG00000165732	81.35195849	-0.679739923	0.244668685	-2.778205646	0.005466001	0.030613108
ENSG00000174996	51.04863868	1.125845306	0.405550831	2.776089262	0.00550171	0.030799011
ENSG00000157181	10.78701407	-1.689358415	0.608718748	-2.775269238	0.005515603	0.03086267
ENSG00000143850	192.27315	0.478582833	0.172461599	2.775011	0.005519984	0.030873077
ENSG00000103546	16.03035661	2.423881062	0.873619247	2.774527999	0.005528188	0.030890735
ENSG00000108587	13.78373637	-1.499838051	0.540558244	-2.774609524	0.005526802	0.030890735
ENSG00000024422	3.665338239	-2.988468236	1.077330709	-2.773956234	0.005537913	0.030930961
ENSG00000162065	5.47946299	4.137052765	1.491657493	2.77346025	0.005546362	0.030964024
ENSG00000136352	3.665806067	-2.987976978	1.077587346	-2.772839703	0.005556949	0.031008989
ENSG00000004700	13.48628572	-1.553250475	0.560346357	-2.771947126	0.005572209	0.031079978
ENSG00000165487	11.2409545	-1.623498304	0.585749594	-2.77165929	0.005577138	0.031093305
ENSG00000139645	36.11645697	1.310220314	0.472761178	2.771421119	0.005581219	0.031101897
ENSG00000107147	19.39430577	-1.308945284	0.472768127	-2.768683439	0.005628329	0.031350152
ENSG00000092621	50.01640485	1.119112524	0.404323577	2.767863633	0.005642506	0.031386279
ENSG00000143420	13.6585383	-1.624915968	0.587039434	-2.767984352	0.005640416	0.031386279
ENSG00000147123	19.99582531	-1.351355052	0.488212318	-2.76796591	0.005640736	0.031386279
ENSG00000105373	112.5867498	0.63242222	0.228507807	2.76761756	0.005646768	0.03139572
ENSG00000116984	38.86445181	1.201015404	0.434374631	2.764929896	0.005693503	0.031641197
ENSG00000109472	20.13338922	1.904662997	0.688949304	2.764590929	0.005699422	0.031645756
ENSG00000080644	50.37954842	1.016709978	0.367761994	2.764586864	0.005699493	0.031645756
ENSG00000129038	6.068562717	-2.164588418	0.783202713	-2.76376522	0.005713864	0.031711166
ENSG00000010270	5.478293419	4.136834315	1.497337788	2.76279297	0.00573091	0.031791362
ENSG00000065526	144.8996797	0.550271088	0.199206884	2.762309601	0.005739403	0.03180326
ENSG00000197217	15.95858964	2.416305508	0.874679494	2.762503892	0.005735988	0.03180326
ENSG00000123297	10.56062864	-1.721925024	0.623382795	-2.762227378	0.005740848	0.03180326
ENSG00000173638	17.85420096	2.118208405	0.766934618	2.761915232	0.00574634	0.031819283
ENSG00000124762	26.17508147	1.535651907	0.556382097	2.760067076	0.005778949	0.031985388
ENSG00000221914	16.10998685	-1.757651679	0.636872435	-2.759817479	0.005783366	0.03199537
ENSG00000140450	5.550996044	4.155688623	1.507560129	2.756565754	0.005841187	0.032300654
ENSG00000105339	5.408397764	4.118286104	1.494254667	2.75608047	0.00584986	0.032334013
ENSG00000138764	5.480398647	4.137236151	1.501443393	2.755505915	0.005860144	0.032376241
ENSG00000143970	34.66166497	1.261863497	0.458023856	2.75501697	0.005868909	0.032410038
ENSG00000067596	31.93134325	1.312421746	0.476506879	2.754255613	0.00588258	0.032470889
ENSG00000293584	4.944844493	-2.44507922	0.88786085	-2.753899128	0.005888992	0.032491628
ENSG00000141298	28.08435037	1.43509534	0.521224765	2.753313805	0.005899532	0.03253512
ENSG00000155368	15.2275202	-1.621477473	0.58907828	-2.752567065	0.005913003	0.032594732
ENSG00000129657	33.96838327	1.265067237	0.459746591	2.751662027	0.005929368	0.03267023
ENSG00000056586	34.26676959	1.271844543	0.462329952	2.750945593	0.005942351	0.032714631
ENSG00000130560	27.46790737	-1.055720525	0.383787839	-2.75079202	0.005945138	0.032714631
ENSG00000103495	146.0278422	0.535714791	0.194750479	2.750775216	0.005945443	0.032714631
ENSG00000133169	27.6394582	-1.083285982	0.393926714	-2.749968318	0.005960103	0.032736446
ENSG00000120913	6.224350747	-2.172256189	0.789820987	-2.750314596	0.005953807	0.032736446
ENSG00000111358	10.04804236	-1.714983008	0.623623673	-2.750028713	0.005959004	0.032736446
ENSG00000129221	2.768941101	-4.187357693	1.522686376	-2.749980402	0.005959883	0.032736446
ENSG00000164221	6.396837241	-2.39103164	0.869727453	-2.749173469	0.005974576	0.032801225
ENSG00000163644	7.503857002	-2.006067655	0.729911487	-2.748371127	0.005989217	0.032852146
ENSG00000204977	14.62810589	-1.585123516	0.576735518	-2.748440952	0.005987942	0.032852146
ENSG00000173801	46.13321579	1.065959257	0.387924306	2.747853745	0.005998676	0.032889293
ENSG00000108557	88.81651521	0.714125127	0.259933262	2.747340307	0.006008076	0.032926085
ENSG00000104290	5.547721246	4.155036186	1.512520208	2.747094659	0.006012578	0.032936014
ENSG00000179632	15.81973399	2.401316014	0.87443584	2.746131741	0.006030254	0.03301807
ENSG00000068697	48.08456152	-0.829293653	0.302079824	-2.745279846	0.006045932	0.033089112
ENSG00000163002	7.574688314	-1.937672905	0.706741238	-2.741700643	0.006112202	0.033436857
ENSG00000075213	11.39721036	-1.628607379	0.594198597	-2.740846896	0.006128106	0.033508886
ENSG00000140264	73.88508347	-0.677681974	0.24735956	-2.739663564	0.00615021	0.033614744
ENSG00000169136	5.407696021	4.118140931	1.504083699	2.737973248	0.00618191	0.033772927
ENSG00000181215	8.784766741	-1.893882847	0.691759767	-2.737775362	0.006185631	0.033778181
ENSG00000102119	21.71602099	1.748114423	0.638646517	2.737217499	0.006196131	0.033820434
ENSG00000160216	22.55236879	1.753076432	0.640840083	2.735591106	0.006226835	0.033972877
ENSG00000144045	5.547487332	4.15498004	1.518974929	2.735384212	0.00623075	0.033979098
ENSG00000197321	91.96151065	0.690043366	0.252302806	2.734980942	0.006238389	0.033990473
ENSG00000180185	15.11854505	-1.403026382	0.512973112	-2.735087568	0.006236368	0.033990473
ENSG00000091732	18.92623994	-1.298451421	0.474837939	-2.734514906	0.006247227	0.034008358
ENSG00000100258	28.35331629	1.467554812	0.536677759	2.734517666	0.006247174	0.034008358
ENSG00000167703	17.79983419	2.093817206	0.766097386	2.733095355	0.006274216	0.034140103
ENSG00000012232	36.60149418	1.236404906	0.452432582	2.732793693	0.006279965	0.034156205
ENSG00000188153	2.315702415	-6.5298386	2.389854101	-2.732316838	0.006289063	0.034160158
ENSG00000108684	2.315702415	-6.5298386	2.389854101	-2.732316838	0.006289063	0.034160158
ENSG00000212657	2.315702415	-6.5298386	2.389854101	-2.732316838	0.006289063	0.034160158
ENSG00000139597	7.574454399	-1.937890232	0.709297798	-2.73212498	0.006292727	0.034164901
ENSG00000182179	5.268840367	4.080493401	1.494323139	2.730663331	0.0063207	0.034286369
ENSG00000147316	14.048619	2.894701639	1.060071287	2.73066696	0.006320631	0.034286369
ENSG00000204842	113.0145696	-0.972130642	0.356049405	-2.730325144	0.006327189	0.034306365
ENSG00000169105	18.20297749	2.153815749	0.789025664	2.72971571	0.006338896	0.034354629
ENSG00000171408	3.892191496	-2.779821523	1.019276987	-2.72724839	0.006386494	0.034581977
ENSG00000111554	3.892191496	-2.779821523	1.019276987	-2.72724839	0.006386494	0.034581977
ENSG00000173264	17.71300616	2.104547725	0.771775871	2.726889766	0.006393439	0.034588988
ENSG00000089818	12.50493186	-1.52078624	0.557682869	-2.726973204	0.006391823	0.034588988
ENSG00000149547	16.55629792	2.435477473	0.893261039	2.726501399	0.006400968	0.034614423
ENSG00000142784	13.97661812	2.886355506	1.059490635	2.724286002	0.006444068	0.034832106
ENSG00000118007	24.97358348	-1.14667764	0.421135915	-2.722820827	0.006472715	0.034971514
ENSG00000271601	26.3101945	1.54613101	0.568040064	2.721869652	0.006491374	0.035007346
ENSG00000146090	2.612451327	-4.160786221	1.528878387	-2.72146317	0.006499363	0.035007346
ENSG00000131437	24.64296981	-1.112348617	0.408674219	-2.721846805	0.006491823	0.035007346
ENSG00000171130	24.60563945	1.621535033	0.595721296	2.721969222	0.006489419	0.035007346
ENSG00000189431	2.612451327	-4.160786221	1.528878387	-2.72146317	0.006499363	0.035007346
ENSG00000141448	2.612451327	-4.160786221	1.528878387	-2.72146317	0.006499363	0.035007346
ENSG00000253352	46.70780546	-0.823321576	0.302465132	-2.722037974	0.006488069	0.035007346
ENSG00000160396	6.964492026	-2.052673663	0.754499712	-2.720575808	0.006516833	0.035086008
ENSG00000177752	2.612919156	-4.159699888	1.529081205	-2.720391745	0.006520462	0.035090116
ENSG00000122756	22.01136642	1.757312032	0.646098321	2.719883299	0.006530496	0.035128674
ENSG00000185621	15.5143838	-1.862797702	0.685149664	-2.718818674	0.006551551	0.035226457
ENSG00000169607	10.06450691	-1.814184782	0.667352053	-2.718482356	0.006558215	0.035233357
ENSG00000111843	12.27854643	-1.547864722	0.569389567	-2.718463442	0.00655859	0.035233357
ENSG00000115268	34.22199526	-0.962582181	0.354261654	-2.717150364	0.006584669	0.035357937
ENSG00000148154	13.64453234	3.910654839	1.439745259	2.716213034	0.006603341	0.03544266
ENSG00000107186	62.07090378	0.865594531	0.318766294	2.715451878	0.006618539	0.035462047
ENSG00000122359	31.73624952	1.288255102	0.474380928	2.715655343	0.006614474	0.035462047
ENSG00000131653	56.01147914	1.006350634	0.370595788	2.715493987	0.006617698	0.035462047
ENSG00000142207	59.58249639	0.872148293	0.321158735	2.715629997	0.00661498	0.035462047
ENSG00000163159	17.88853354	2.083315774	0.767288248	2.715167057	0.006624235	0.035464935
ENSG00000213676	23.73683038	1.64657626	0.606443562	2.715135197	0.006624872	0.035464935
ENSG00000198890	32.66454378	-0.987058228	0.363659516	-2.714237315	0.006642856	0.035514623
ENSG00000077549	19.55682377	1.868721013	0.688428105	2.714475194	0.006638087	0.035514623
ENSG00000103653	30.24237801	1.391751038	0.512754556	2.71426362	0.006642329	0.035514623
ENSG00000181104	17.81770223	2.076416995	0.76511326	2.713868787	0.00665025	0.035538635
ENSG00000039319	27.79594798	-1.086238479	0.400367096	-2.713106273	0.006665573	0.035604976
ENSG00000143569	194.1147624	0.468839306	0.172876117	2.711995822	0.006687944	0.035708894
ENSG00000166233	39.44447472	-0.897243775	0.33107715	-2.710074598	0.006726808	0.035900744
ENSG00000100462	21.90637552	1.715384277	0.633001564	2.709921071	0.006729922	0.035901715
ENSG00000184205	24.95594936	-1.117284002	0.412445119	-2.708927689	0.006750105	0.0359937
ENSG00000142892	9.314519311	-1.988781236	0.734262527	-2.708542466	0.006757946	0.036019824
ENSG00000166963	143.5107694	0.588272186	0.217230045	2.708060876	0.006767761	0.036040755
ENSG00000179958	5.340373422	4.099876539	1.513946518	2.708072241	0.006767529	0.036040755
ENSG00000065183	39.64759016	-0.91319356	0.337378392	-2.706733988	0.006794868	0.036153659
ENSG00000189184	23.96311179	-1.143563776	0.422486612	-2.706745594	0.00679463	0.036153659
ENSG00000171490	34.69123067	-0.968359329	0.357852023	-2.706032848	0.006809231	0.036214342
ENSG00000155760	36.29415821	1.187030321	0.438727464	2.705621185	0.006817677	0.036227785
ENSG00000160991	24.21051016	1.636443345	0.604816639	2.705685061	0.006816366	0.036227785
ENSG00000108510	88.2613265	0.699469411	0.258667302	2.704127674	0.006848397	0.036375238
ENSG00000121486	12.20677946	-1.579991313	0.584423116	-2.703505852	0.006861224	0.036427565
ENSG00000213171	4.048915183	-2.793063694	1.033767622	-2.701829343	0.006895915	0.036595875
ENSG00000165029	29.85710275	1.340236423	0.496329329	2.700296647	0.006927767	0.036748984
ENSG00000198604	34.85122915	-0.970207189	0.359450228	-2.699141951	0.006951852	0.036860771
ENSG00000171320	5.171931664	-2.328037428	0.86280592	-2.698216799	0.006971202	0.036947373
ENSG00000204381	13.34380688	3.896735271	1.444275587	2.698055208	0.006974587	0.036949317
ENSG00000176994	13.69633376	2.853331517	1.058649686	2.695255622	0.007033465	0.037245118
ENSG00000197056	14.85713301	-1.694461916	0.628766336	-2.69489923	0.007040992	0.037252751
ENSG00000224470	17.36259223	2.06886183	0.767661675	2.695017737	0.007038488	0.037252751
ENSG00000148358	21.43760794	1.724269787	0.639908901	2.694555092	0.007048267	0.03725904
ENSG00000012061	13.69609984	2.853336543	1.058879613	2.694675116	0.007045729	0.03725904
ENSG00000197894	28.48903475	-1.026691416	0.381074275	-2.694202899	0.00705572	0.037282339
ENSG00000084693	33.78694712	1.231678085	0.4572015	2.693950229	0.007061071	0.037294517
ENSG00000177192	5.128815142	4.041597276	1.500554282	2.693402915	0.007072674	0.037339693
ENSG00000162129	30.64148385	1.378956288	0.512142423	2.692525022	0.007091321	0.037422003
ENSG00000099194	54.72917363	0.964210118	0.358408864	2.690251877	0.007139811	0.037661656
ENSG00000143771	24.78439852	-1.086505057	0.403919593	-2.689904314	0.007147251	0.037684665
ENSG00000185418	5.057516002	4.021487506	1.496046709	2.688076168	0.0071865	0.0378753
ENSG00000088992	46.66356564	-0.88975376	0.331046288	-2.687701971	0.007194558	0.037901451
ENSG00000086065	23.06718248	-1.128459679	0.419929165	-2.687261977	0.007204043	0.037935094
ENSG00000065809	6.294714231	-2.084550434	0.775798017	-2.686975719	0.007210219	0.037951297
ENSG00000101188	4.367811217	-3.548478473	1.320766514	-2.686681133	0.007216581	0.037968457
ENSG00000175063	21.93615199	-1.274711277	0.474494236	-2.686463141	0.007221292	0.037976921
ENSG00000070915	2.839538498	-3.597716196	1.339304653	-2.686256772	0.007225754	0.037984071
ENSG00000164305	8.76760045	-1.779773593	0.662595142	-2.686064959	0.007229903	0.037989572
ENSG00000111247	5.258525782	-2.468179833	0.919263599	-2.684953299	0.007253994	0.038099005
ENSG00000171302	25.83996252	1.496391449	0.557353243	2.684816979	0.007256953	0.038099005
ENSG00000167996	51.14840834	0.945796925	0.352508613	2.683046288	0.007295489	0.038284901
ENSG00000100271	8.465644505	-2.553558768	0.951800224	-2.682872628	0.007299278	0.038288375
ENSG00000144674	37.39804849	-0.894343378	0.333400112	-2.68249273	0.007307574	0.038300402
ENSG00000101868	17.48930826	-1.295849056	0.483078541	-2.682481101	0.007307828	0.038300402
ENSG00000157514	8.243530452	-1.928060218	0.718928013	-2.681854348	0.007321533	0.03835581
ENSG00000156599	23.47090534	1.608678227	0.599894216	2.681603163	0.007327032	0.0383682
ENSG00000151353	12.12182274	-1.542831069	0.575703731	-2.679904586	0.007364315	0.038546946
ENSG00000250510	16.36009554	2.485257952	0.927709232	2.678919068	0.007386024	0.038644058
ENSG00000099817	42.17942161	1.132248324	0.422895455	2.677371704	0.007420226	0.038806421
